, 1, Intel, intel@gmail.com, 57.286.247/0001-33, 
, 2, AMD, amd@gmail.com,99.888.888/9999-99, 
, 3, Seagate, seagate@hotmail.com, 12.345.678/9999-99, 
, 4, WD, wd@outlook.com, 12.123.123/1234-12, 
, 5, ASUS, asus@asus.com, 22.222.222/2222-22, 
, 6, GigaByte, gigabyte@gmail.com, 33.333.333/3333-33, 
, 7, Logitech, logitech@logitech.com, 11.111.111/1111-11, 
, 8, Razer, razer@razer.com, 44.444.444/4444-44, 
, 9, Dell, dell@dell.com, 43.434.434/4343-43, 
, 10, Multilaser, multilaser@multilaser.com, 11.222.333/4444-55, 
